"dim","correct_rate"
1,0.9241
2,0.9254
3,0.8939
4,0.8728
5,0.911
6,0.8942
7,0.8946
8,0.9025
9,0.9207
10,0.9496
11,0.8947
12,0.8952
13,0.9031
14,0.9053
15,0.8813
